crosstalk,interference,single_narma,parallel_narma
0.0,-0.030042180755846526,0.9743680758594485,0.9089092284369353
0.05,-0.04286634494854702,0.9769169144419055,0.9090505694933585
0.1,-0.0470951737541474,0.9801622343544897,0.9101503939336756
0.15,-0.050826936463922,0.9837169720975828,0.9120567023003274
0.2,-0.05802527574054939,0.9871738192409348,0.9145652101670521
0.25,-0.07081900257846185,0.9904100446028085,0.9175077086910133
0.3,-0.060234990714543524,0.9934839329646447,0.9207489422501012
0.35,-0.059685696007427236,0.9963486885559921,0.9241629925485649
0.4,-0.05667976818562326,0.998903084781423,0.9276399832624664
0.45,-0.05541780092961701,1.001094461873589,0.9310933276106388
0.5,-0.05804906335201332,1.0029252431686715,0.9344595131499915
